X [s],R BICEPS BRACHII 1: EMG 1->Subset [Volts],R FLEXOR CARPI RADIALIS 2: EMG 2->Subset [Volts],R EXTENSOR CARPI RADIALIS 3: EMG 3->Subset [Volts]
0,-2.85E-06,-0.000287861,-2.35E-05
0.000519231,-2.69E-06,-0.000244556,-1.66E-05
0.001038462,-4.20E-06,-0.000143175,-2.25E-05
0.001557692,-3.36E-06,-7.40E-05,-2.80E-05
0.002076923,-5.04E-07,-7.37E-05,-2.84E-05
0.002596154,-3.02E-06,-5.52E-05,-2.58E-05
0.003115385,-6.04E-06,-1.93E-05,-2.38E-05
0.003634615,-5.20E-06,-1.09E-05,-2.30E-05
0.004153846,-3.36E-07,4.53E-06,-2.22E-05
0.004673077,-3.86E-06,1.29E-05,-2.23E-05
0.005192308,-8.39E-07,2.60E-05,-1.46E-05
0.005711538,-4.03E-06,8.85E-05,-6.88E-06
0.006230769,-5.54E-06,0.000163317,-3.19E-06
0.00675,-3.19E-06,0.000192859,-5.04E-07
0.007269231,-1.68E-07,0.00013344,1.17E-06
0.007788462,-1.17E-06,2.74E-05,-6.88E-06
0.008307692,-4.87E-06,-5.35E-05,-5.20E-06
0.008826923,-4.03E-06,-7.77E-05,4.53E-06
0.009346154,-5.20E-06,-5.05E-05,1.04E-05
0.009865385,-6.21E-06,5.37E-06,9.40E-06
0.010384615,-7.22E-06,3.51E-05,1.38E-05
0.010903846,-5.87E-06,3.21E-05,8.90E-06
0.011423077,-6.55E-06,2.20E-05,-6.21E-06
0.011942308,-5.20E-06,2.35E-05,-2.47E-05
0.012461538,-4.87E-06,1.12E-05,-3.04E-05
0.012980769,-5.04E-06,2.80E-05,-2.58E-05
0.0135,-9.57E-06,6.36E-05,-2.30E-05
0.014019231,-7.55E-06,7.10E-05,-2.15E-05
0.014538462,-7.05E-06,7.00E-05,-2.13E-05
0.015057692,-6.38E-06,4.40E-05,-2.94E-05
0.015576923,-5.54E-06,5.05E-05,-2.94E-05
0.016096154,-4.70E-06,5.19E-05,-2.74E-05
